i               ti                    y(ti)
     0          0.00000000          0.00000000
     1          0.50000000          4.89208450
     2          1.00000000          9.70766028
     3          1.50000000         14.37493100
     4          2.00000000         18.83092163
     5          2.50000000         23.02450904
     6          3.00000000         26.91811746
     7          3.50000000         30.48806317
     8          4.00000000         33.72373723
     9          4.50000000         36.62594211
    10          5.00000000         39.20473949
    11          5.50000000         41.47713725
    12          6.00000000         43.46487118
    13          6.50000000         45.19244916
    14          7.00000000         46.68554372
    15          7.50000000         47.96975422
    16          8.00000000         49.06971616
    17          8.50000000         50.00851058
    18          9.00000000         50.80731656
    19          9.50000000         51.48524985
    20         10.00000000         52.05933661
    21         10.50000000         52.54457951
    22         11.00000000         52.95408244
    23         11.50000000         53.29920844
    24         12.00000000         53.58975241
    25         12.50000000         53.83411599
    26         13.00000000         54.03947634
    27         13.50000000         54.21194379
    28         14.00000000         54.35670579
    29         14.50000000         54.47815588
    30         15.00000000         54.58000796
    31         15.50000000         54.66539625
    32         16.00000000         54.73696217
    33         16.50000000         54.79692932
    34         17.00000000         54.84716773
    35         17.50000000         54.88924887
    36         18.00000000         54.92449244
    37         18.50000000         54.95400606
    38         19.00000000         54.97871895
    39         19.50000000         54.99941034
    40         20.00000000         55.01673347
    41         20.50000000         55.03123585
    42         21.00000000         55.04337620
    43         21.50000000         55.05353883
    44         22.00000000         55.06204564
    45         22.50000000         55.06916622
    46         23.00000000         55.07512633
    47         23.50000000         55.08011499
    48         24.00000000         55.08429048
    49         24.50000000         55.08778530
    50         25.00000000         55.09071037
    51         25.50000000         55.09315856
    52         26.00000000         55.09520760
    53         26.50000000         55.09692255
    54         27.00000000         55.09835788
    55         27.50000000         55.09955917
    56         28.00000000         55.10056458
    57         28.50000000         55.10140605
    58         29.00000000         55.10211031
    59         29.50000000         55.10269973
    60         30.00000000         55.10319303
