i               ti                    y(ti)
     0          0.00000000          0.00000000
     1          0.01000000          0.01000033
     2          0.02000000          0.02000267
     3          0.03000000          0.03000900
     4          0.04000000          0.04002135
     5          0.05000000          0.05004171
     6          0.06000000          0.06007210
     7          0.07000000          0.07011456
     8          0.08000000          0.08017110
     9          0.09000000          0.09024379
    10          0.10000000          0.10033467
    11          0.11000000          0.11044582
    12          0.12000000          0.12057934
    13          0.13000000          0.13073732
    14          0.14000000          0.14092189
    15          0.15000000          0.15113522
    16          0.16000000          0.16137946
    17          0.17000000          0.17165682
    18          0.18000000          0.18196953
    19          0.19000000          0.19231984
    20          0.20000000          0.20271004
    21          0.21000000          0.21314244
    22          0.22000000          0.22361942
    23          0.23000000          0.23414336
    24          0.24000000          0.24471670
    25          0.25000000          0.25534192
    26          0.26000000          0.26602154
    27          0.27000000          0.27675814
    28          0.28000000          0.28755433
    29          0.29000000          0.29841279
    30          0.30000000          0.30933625
    31          0.31000000          0.32032751
    32          0.32000000          0.33138941
    33          0.33000000          0.34252487
    34          0.34000000          0.35373688
    35          0.35000000          0.36502849
    36          0.36000000          0.37640285
    37          0.37000000          0.38786316
    38          0.38000000          0.39941272
    39          0.39000000          0.41105492
    40          0.40000000          0.42279322
    41          0.41000000          0.43463120
    42          0.42000000          0.44657255
    43          0.43000000          0.45862102
    44          0.44000000          0.47078053
    45          0.45000000          0.48305507
    46          0.46000000          0.49544877
    47          0.47000000          0.50796590
    48          0.48000000          0.52061084
    49          0.49000000          0.53338815
    50          0.50000000          0.54630249
    51          0.51000000          0.55935872
    52          0.52000000          0.57256183
    53          0.53000000          0.58591701
    54          0.54000000          0.59942962
    55          0.55000000          0.61310521
    56          0.56000000          0.62694954
    57          0.57000000          0.64096855
    58          0.58000000          0.65516845
    59          0.59000000          0.66955565
    60          0.60000000          0.68413681
    61          0.61000000          0.69891886
    62          0.62000000          0.71390901
    63          0.63000000          0.72911473
    64          0.64000000          0.74454382
    65          0.65000000          0.76020440
    66          0.66000000          0.77610491
    67          0.67000000          0.79225417
    68          0.68000000          0.80866138
    69          0.69000000          0.82533611
    70          0.70000000          0.84228838
    71          0.71000000          0.85952867
    72          0.72000000          0.87706790
    73          0.73000000          0.89491753
    74          0.74000000          0.91308953
    75          0.75000000          0.93159646
    76          0.76000000          0.95045146
    77          0.77000000          0.96966833
    78          0.78000000          0.98926154
    79          0.79000000          1.00924629
    80          0.80000000          1.02963856
    81          0.81000000          1.05045514
    82          0.82000000          1.07171372
    83          0.83000000          1.09343292
    84          0.84000000          1.11563235
    85          0.85000000          1.13833271
    86          0.86000000          1.16155586
    87          0.87000000          1.18532486
    88          0.88000000          1.20966412
    89          0.89000000          1.23459946
    90          0.90000000          1.26015822
    91          0.91000000          1.28636938
    92          0.92000000          1.31326370
    93          0.93000000          1.34087383
    94          0.94000000          1.36923448
    95          0.95000000          1.39838259
    96          0.96000000          1.42835749
    97          0.97000000          1.45920113
    98          0.98000000          1.49095827
    99          0.99000000          1.52367674
   100          1.00000000          1.55740772
